Title,Ingredients,Steps,Loves,URL,Category,Title Cleaned,Total Ingredients,Ingredients Cleaned,Total Steps,judul_bersih,bahan_bersih,Quality Score
Sate Kambing Maranggi,"1 kg daging kambing potong agak besar karena daging mudah empuk--Secukupnya tusukan sate--Secukupnya kecap manis--1/4 nanas uk kecil atau 1/8 nanas uk sedang--Bumbu dihaluskan :--8 bawang putih--5 bawang merah--1 sdm ketumbar--1 sdm gula merah--1/4 sdt garam--Bahan sambal kecap :--10 bawang merah, potong2 kecil--20 cabe rawit, potong kecil--2 tomat merah besar, potong kotak kecil--1 bh jeruk sambal--Secukupnya kecap manis--","1) Parut nanas, kemudian peras dan saring airnya. Letakkan di piring ceper. Sisihkan.
2) Lumuri daging yg sudah dipotong agak besar (sekitar 2x2) dengan bumbu halus dan 2 sdm kecap, diamkan sebentar (sekitar 2 jam) dlm refrigator agar bumbu meresap.
3) Rangkai daging dgn menusuk daging dgn tusukannya
4) Letakkan telapak tangan pada air nanas, tipis2, kemudian tempelkan telapak tangan pd sate, lakukan merata pd semua sate, bolak balik. Cukup lakukan sekali agar daging tdk hilang cita rasanya.
5) Panaskan arang utk bakaran sate
6) Bakar sate setengah matang, kemudian balur dgn kecap manis yg dicampur mentega dan bakar lagi hingga matang.
7) Cara Membuat Sambal Kecap : Campur semua bahan, tambahkan perasan jeruk sambal.
8) Sajikan sate kambing dgn siraman sambal kecap.
9) Catatan, karena daging mudah empuk, hati2 saat membakarnya agar daging tdk lepas dr tusukannya saat membakar.",8,https://cookpad.com/id/resep/3281589-sate-kambing-maranggi,kambing,sate kambing maranggi,16,"daging kambing potong daging mudah empuk , tusukan sate , kecap manis , nanas nanas , bumbu dihaluskan , bawang putih , bawang merah , ketumbar , gula merah , garam , sambal kecap , bawang merah , potong , cabe rawit , potong , tomat merah , potong kotak , jeruk sambal , kecap manis",9,sate kambing maranggi,"1 kg daging kambing potong agak besar karena daging mudah empuk secukupnya tusukan sate secukupnya kecap manis 1 4 nanas uk kecil atau 1 8 nanas uk sedang bumbu dihaluskan 8 bawang putih 5 bawang merah 1 sdm ketumbar 1 sdm gula merah 1 4 sdt garam bahan sambal kecap 10 bawang merah, potong2 kecil 20 cabe rawit, potong kecil 2 tomat merah besar, potong kotak kecil 1 bh jeruk sambal secukupnya kecap manis",0.3907
Ikan gabus pedas manis,"1 buah ikan gabus ukuran besar, potong beberapa bagian--1 papan petai--1 buah tomat merah--7 buah cabe merah keriting--4 siung bawang putih--4 siung bawang merah--2 cm lengkuas, iris tipis--1 batang sereh--2 lembar daun jeruk--2 sdm gula jawa--Secukupnya garam--","1) Goreng ikan gabus, jangan terlalu kering. Sisihkan
2) Haluskan bawang putih, bawang merah, tomat merah, dan cabe merah.
3) Tumis bumbu halus, masukkan pete, lengkuas, daun jeruk, dan batang sereh. Tumis sampai harum dan bumbu matang lalu tambahkan sedikit air
4) Masukkan gula jawa dan garam sambil cek rasa",8,https://cookpad.com/id/resep/4007066-ikan-gabus-pedas-manis,ikan,ikan gabus pedas manis,11,"ikan gabus , potong , papan petai , tomat merah , cabe merah keriting , bawang putih , bawang merah , lengkuas , tipis , serai , daun jeruk , gula jawa , garam",4,ikan gabus pedas manis,"1 buah ikan gabus ukuran besar, potong beberapa bagian 1 papan petai 1 buah tomat merah 7 buah cabe merah keriting 4 siung bawang putih 4 siung bawang merah 2 cm lengkuas, iris tipis 1 batang sereh 2 lembar daun jeruk 2 sdm gula jawa secukupnya garam",0.2716
Tumis Udang Daun Jeruk (no MSG),"200 gr udang kupas--3 siung bawang putih--2 siung bawang merah--1 batang serai--2 lembar daun jeruk--3 buah cabai merah (rajang)--1/2 sdt kunyit bubuk--1 buah jeruk nipis (peras, ambil airnya)--2 sdm minyak goreng--secukupnya Garam & merica--","1) Bersihkan udang. Lumuri dengan air perasan jeruk nipis dan garam secukupnya (boleh ditambah kunyit biar cerah). Diamkan sambil menyiapkan bumbu.
2) Haluskan bawang merah, bawang putih, & serai. Campur dengan kunyit.
3) Panaskan 2 sdm minyak goreng. Masukkan bumbu halus, tumis hingga harum. Tambahkan daun jeruk, cabai merah, garam, & merica.
4) Masukkan udang. Tumis hingga matang dan bumbu tercampur rata.
5) Tips: (1) saya menghaluskan bumbu dengan cara diparut karena lebih cepat; (2) saya pakai kunyit bubuk karena aroma yg dihasilkan sama, lebih praktis, dan tidak membuat jari kuning; (3) remas daun jeruk dan masukkan terakhir sebelum udang agar aroma lebih kuat; (4) jangan menumis udang terlalu lama, cukup sampai daging sudah terlihat kemerahan agar hasilnya empuk dan juicy.",8,https://cookpad.com/id/resep/4035835-tumis-udang-daun-jeruk-no-msg,udang,tumis udang daun jeruk ( no msg ),10,"udang kupas , bawang putih , bawang merah , serai , daun jeruk , cabai merah rajang , kunyit , jeruk nipis peras , ambil airnya , minyak goreng , garam & merica",5,tumis udang daun jeruk no msg,"200 gr udang kupas 3 siung bawang putih 2 siung bawang merah 1 batang serai 2 lembar daun jeruk 3 buah cabai merah rajang 1 2 sdt kunyit bubuk 1 buah jeruk nipis peras, ambil airnya 2 sdm minyak goreng secukupnya garam merica",0.3537
Sate jamur tahu,"250 gr jamur tiram(cincang kasar)--2 btr telur ukuran besar--3 sdm tepung roti halus--secukupnya Garam,kaldu jamur--75 gr kacang tanah sangrai haluskan--1 sdm tepung roti--Secukupnya gula merah--Secukupnya peresan jeruk purut/lemon--Bumbu halus utk sate jamur :--3 siung bawang merah--1 siung bawang putih--Bumbu halus utk saus kacang :--3 siung bawang merah--1 siung bawang putih--3 cm kencur--5 bh cabe merah--6 bh cabe rawit/sesuai selera--secukupnya air matang dingin--","1) Blender jamur+ telur+bumbu halus+garam secukupnya proses hingga halus(diblender perlahan ya !! Pencet tombol blender biarkan bbrp menit lalu matikan dulu buka tutupnya dan aduk2 sebentar tutup kembali lalu blender kembali,,, kl aku sampai 3x).angkat masukkan ke dlm wadah+tepung roti+bumbu halus+aduk rata.
2) Olesi wadah atau cetakan dgn minyak masukkan adonan ratakan lalu kukus krg lbh 15 menit lalu angkat dinginkan.
3) Lalu potong2 dan bentuk kotak2 serasi,tusuk dgn tusukan sate msg2 4 - 5 tiap tusuknya.
4) Olesi panggangan dgn minyak atau margarine panggang sambil dibolak balik(krn sate jamur ini tdk mengandung lemak seperti ayam/daging makanya lengket,maka ktk akan dibalikan sodok dulu dgn spatula biar sate jamurnya tdk hancur dan tetep cantik),dan setiap akan manggang lg panggannya diolesi kembali ya !!
5) Tumis bumbu halus utk saus kacang tumis hingga harum+air matang dan gula merah secukupnya masak2 sambil diaduk2+tepung roti aduk2 kembali,kecilkan apinya+garam dan kaldu jamur secukupnya jk dirasa terlalu kental boleh tambah air kembali jng lupa koreksi rasa ya !!
6) Sajikan sate jamur tahu dgn saus kacang kucuri dgn perasan jeruk purut/lemon secukupnya.",8,https://cookpad.com/id/resep/4459866-sate-jamur-tahu,tahu,sate jamur tahu,18,"jamur tiram cincang kasar , telur , tepung roti halus , garam , kaldu jamur , kacang tanah sangrai haluskan , tepung roti , gula merah , peresan jeruk purut lemon , bumbu halus utk sate jamur , bawang merah , bawang putih , bumbu halus utk saus kacang , bawang merah , bawang putih , kencur , cabe merah , cabe rawit , air matang dingin",6,sate jamur tahu,"250 gr jamur tiram cincang kasar 2 btr telur ukuran besar 3 sdm tepung roti halus secukupnya garam,kaldu jamur 75 gr kacang tanah sangrai haluskan 1 sdm tepung roti secukupnya gula merah secukupnya peresan jeruk purut lemon bumbu halus utk sate jamur 3 siung bawang merah 1 siung bawang putih bumbu halus utk saus kacang 3 siung bawang merah 1 siung bawang putih 3 cm kencur 5 bh cabe merah 6 bh cabe rawit sesuai selera secukupnya air matang dingin",0.3406
Tempe Bacem Una,1 papan tempe besar--Bumbu halus:--6 siung bawang merah--4 siung bawang putih--3 buah kemiri--1/2 sdt ketumbar--secukupnya Garam--Gula jawa setengah bungkal--4 sdm Kecap manis--Penyedap rasa--Bumbu tambahan:--3 lembar Daun salam--2 batang sereh--Air--,"1) Potong tempe kotak, menjadi beberapa bagian. Jangan tipis.
2) Haluskan bawang merah, bawang putih, dan kemiri.
3) Masukan air kedalam wadah rebus.
4) Tunggu hingga akan mendidih, masukan bumbu halus, sereh dan daun salam.
5) Jika air sudah mendidih tambahkan gula jawa, garam, kecap, dan penyedap rasa. Koreksi rasa bila kurang manis bisa tambahkan gula pasir.
6) Masukan tempe, tempe harus terendam semua.
7) Tutup wajan, tunggu sampai air meresap habis.
8) Tempe bacem yg sudah kering bisa digoreng atau disimpan didalam lemari es.",8,https://cookpad.com/id/resep/4373599-tempe-bacem-una,tempe,tempe bacem una,14,"papan tempe , bumbu halus , bawang merah , bawang putih , kemiri , ketumbar , garam , gula jawa bungkal , kecap manis , penyedap , bumbu tambahan , daun salam , serai , air",8,tempe bacem una,1 papan tempe besar bumbu halus 6 siung bawang merah 4 siung bawang putih 3 buah kemiri 1 2 sdt ketumbar secukupnya garam gula jawa setengah bungkal 4 sdm kecap manis penyedap rasa bumbu tambahan 3 lembar daun salam 2 batang sereh air,0.3529
Oseng Tahu Tempe Kecap (🇮🇩) #recook,"Bahan:--1/2 papan Tempe, potong dadu--1 papan Tahu, potong dadu--Sedikit Air putih----Bumbu:--4 siung Bawang merah, iris tipis--3 siung Bawang putih, iris tipis--1 1/2 ruas Lengkuas, geprek--1 lbr Daun salam--7 buah Cabe rawit, iris--Sesuai selera Kecap manis--Secukupnya Gula & garam--","1) Goreng tahu & tempe setengah kering. Sisihkan.
2) Tumis bawang merah, bawang putih, cabe, lengkuas, dan daun salam hingga wangi.
3) Masukkan tempe & tahu, aduk rata, tambahkan sedikit air putih.
4) Tambahkan kecap, gula, dan garam. Aduk hingga rata, tes rasa.
5) Kalau air sudah mendidih atau agak sat, angkat & sajikan! Yum!",8,https://cookpad.com/id/resep/4200358-oseng-tahu-tempe-kecap-%F0%9F%87%AE%F0%9F%87%A9-recook,tempe,oseng tahu tempe kecap ( ),13,"papan tempe , potong dadu , papan tahu , potong dadu , air putih , bumbu , bawang merah , tipis , bawang putih , tipis , lengkuas , geprek , daun salam , cabe rawit , kecap manis , gula & garam",5,oseng tahu tempe kecap recook,"bahan 1 2 papan tempe, potong dadu 1 papan tahu, potong dadu sedikit air putih bumbu 4 siung bawang merah, iris tipis 3 siung bawang putih, iris tipis 1 1 2 ruas lengkuas, geprek 1 lbr daun salam 7 buah cabe rawit, iris sesuai selera kecap manis secukupnya gula garam",0.2799
Asam padeh (asam pedas)patin tahu,Ikan patin 1 ekor potong jd 6 bagian atau sesuai selera--Tahu sutra potong sesuai selera--Lengkuas 2cm geprek--Sereh 1 bh geprek--Cabe giling halus lebkur 3 sendok makan atau sesuai selera--Saya pke cabe giling dr padang udah jelas pedas g perlu rawit lg--1 lembar Daun salam--2 lembar Daun jeruk--1 bh Jeruk nipis--secukupnya Garam--1 bh Asam kandis--2 gelas air--Bumbu halus :--5 siung Bawang merah--3 siung Bawang putih--2 cm Jahe--3 bh Kemiri--Rawit bwt nmbah padas kalo pke cabe kriting jawa--,"1) Cuci ikan patin lalu lumuri dg jeruk nipis dan garam lebkur 15 menit lalu bilas kembali
2) Masak bumbu halus yang telah dberi air dan masukkan sereh lengkuas daun salam dan daun jeruk,tunggu hingga mndidih
3) Lalu masukkan ikan patin masak sebentar dan masukkan tahu
4) Lalu masukkan asam kandis dan garam
5) Tunggu kuah agak kental, cicipi rasa, kalau kurang pedas bs tmbah cabe dan masak sbntar
6) Jangan sering di aduk ya, tar patin nya bs ancur
7) Setelah matang kluarkan asam kandis agar kuah tdk trlalu asam atw jd pahit
8) Siap dihidangkan dan dnikmati",8,https://cookpad.com/id/resep/4461436-asam-padeh-asam-pedaspatin-tahu,tahu,asam padeh ( asam pedas ) patin tahu,18,"ikan patin potong , tahu sutra potong , lengkuas , serai geprek , cabe giling halus lebkur , pke cabe giling padang udah pedas rawit lg , daun salam , daun jeruk , jeruk nipis , garam , asam kandis , air , bumbu halus , bawang merah , bawang putih , jahe , kemiri , rawit bwt nmbah padas kalo pke cabe kriting jawa",8,asam padeh asam pedas patin tahu,ikan patin 1 ekor potong jd 6 bagian atau sesuai selera tahu sutra potong sesuai selera lengkuas 2cm geprek sereh 1 bh geprek cabe giling halus lebkur 3 sendok makan atau sesuai selera saya pke cabe giling dr padang udah jelas pedas g perlu rawit lg 1 lembar daun salam 2 lembar daun jeruk 1 bh jeruk nipis secukupnya garam 1 bh asam kandis 2 gelas air bumbu halus 5 siung bawang merah 3 siung bawang putih 2 cm jahe 3 bh kemiri rawit bwt nmbah padas kalo pke cabe kriting jawa,0.3003
Ikan tongkol suwir pedas,Ikan tongkol ukuran sedang--30 cabe rawit/sesuai selera--10 cabe keriting--2 siung bawang putih--15 siung bawang merah--2 biji tomat--,"1) Pertama2 ikan tongkolnya direbus hingga masak, lalu dagingnya di suwir suwir
2) Kemudian cabe rawit, bawang putih dan cabe keriting di ulek halus
3) Kemudian bawang merah dan tomat di iris tipis tipis aja
4) Lalu panaskan minyak secukupnya tumis semua bahan tadi, lalu masukkan daging ikan tongkol yg sudah suwir suwir masak hingga tercampu rata dengan bumbu nya. Sajikan.",8,https://cookpad.com/id/resep/4344879-ikan-tongkol-suwir-pedas,ikan,ikan tongkol suwir pedas,6,"ikan tongkol , cabe rawit , cabe keriting , bawang putih , bawang merah , biji tomat",4,ikan tongkol suwir pedas,ikan tongkol ukuran sedang 30 cabe rawit sesuai selera 10 cabe keriting 2 siung bawang putih 15 siung bawang merah 2 biji tomat,0.28
Sate kambing empuk🍢,1/2 kg daging kambing + lemak + hati--2 buah nanas kecil--6 biji bawang merah--1 buah jeruk nipis--kecap manis--cabe--,"1) Daging kambing ga perlu dicuci ya bun biar g bau (lebus/prengus).. Langsung aja dipotong dadu trus ditusuk dgn urutan : daging-hati-lemak-dst sampe habis.
2) Kupas lalu Parut/blender nanas (tnpa tambahan air klo mo diblend). Peras/saring sari buah nanas. Taruh dipiring terpisah. Dipiring lain rajang tipis bwg merah+cabe & campur dgn kecap manis
3) Celupkan sekali aja daging sate kedalam sari nanas. (Jangan direndam/kelamaan dicampur sari nanas coz bisa membuat daging hancur). Lalu masukkan kedalam bumbu.
4) Siapkan api/arang...silahkan dibakar ½ matang lalu celupkan lgi kedlam bumbu agar meresap. Lalu bakar lagi sampe warna daging berubah coklat.. Selamat menyambut hari raya Idul Adha
5) Maaf lupa..untuk sambel satenya sama aja kyk bumbu untuk mncelup satenya cuman dtambahin sedikit perasan air jeruk nipis ya...",8,https://cookpad.com/id/resep/948559-sate-kambing-empuk%F0%9F%8D%A2,kambing,sate kambing empuk,6,"daging kambing + lemak + hati , nanas , biji bawang merah , jeruk nipis , kecap manis , cabe",5,sate kambing empuk,1 2 kg daging kambing lemak hati 2 buah nanas kecil 6 biji bawang merah 1 buah jeruk nipis kecap manis cabe,0.3585
Sayur tumis udang,"1/4 kg udang segar--1 ikat kacang panjang--1/4 kg wortel--1 buah jagung manis--1 ikat sawi--Garam, cabe rawit, gula, tomat, bawang merah, bawang putih--","1) Siapkan semua bahan yg akan digunakan. Bersihkan udang (potong potong kecil), bersihkan semua sayuran yang dibutuhkan dan siapkan bumbu yang akan digunakan
2) Tumis bawang merah, bawang putih yg telah diiris hingga harum, masukkan udang, tomat dan cabe
3) Masukkan potongan wortel dan kacang panjang
4) Tambahkan sawi dan jagung, diamkn hingga matang
5) Masukkan gula dan garam secukupnya(tambahkan air jika perlu)
6) Masak hingga semua sayur matang
7) Siap disajikan",8,https://cookpad.com/id/resep/4049329-sayur-tumis-udang,udang,sayur tumis udang,6,"udang segar , kacang panjang , wortel , jagung manis , sawi , garam , cabe rawit , gula , tomat , bawang merah , bawang putih",7,sayur tumis udang,"1 4 kg udang segar 1 ikat kacang panjang 1 4 kg wortel 1 buah jagung manis 1 ikat sawi garam, cabe rawit, gula, tomat, bawang merah, bawang putih",0.3524
Tumis Ikan Pe (Ikan Pari) Bumbu Pedas,4 Rantang Ikan Pari Yang Sudah Dipanggang--20 Buah Cabe Rawit (Sesuai Selera)--7 Siung Bawang Merah--4 Siung Bawang Putih--2 Buah Tomat Segar--1 Ruas Lengkuas--2 Lembar Daun Jeruk Purut--2 Sendok Teh Gula Pasir--Secukupnya Garam--Secukupnya Penyedap Rasa (Saya Pakai MAGIC)--,"1) Cuci semua bahan yang akan dimasak
2) Iris tipis cabe, bawang merah, bawang putih, dan tomat
3) Geprek lengkuas dan masukkan bersama bumbu yang sudah diiris tadi ke penggorengan.. Lalu masukkan 2 lembar daun jeruk
4) Aduk semua bumbu hingga harum dan tambahkan air secukupnya
5) Kemudian masukkan ikan pari yang sudah dibersikan ke dalam tumisan bumbu yang sudah diberi air
6) Aduk hingga semua bumbu merata pada ikan pari kemudian diamkan beberapa menit
7) Terakhir tambahkan garam halus,penyedap rasa, dan gula
8) Cicip rasa masakan, jika sudah pas dan matang kemudian tiriskan
9) Tumis ikan pari bumbu pedas siap disajikan ;)",8,https://cookpad.com/id/resep/4345289-tumis-ikan-pe-ikan-pari-bumbu-pedas,ikan,tumis ikan pe ( ikan pari ) bumbu pedas,10,"rantang ikan pari dipanggang , cabe rawit , bawang merah , bawang putih , tomat segar , lengkuas , daun jeruk , gula pasir , garam , penyedap magic",9,tumis ikan pe ikan pari bumbu pedas,4 rantang ikan pari yang sudah dipanggang 20 buah cabe rawit sesuai selera 7 siung bawang merah 4 siung bawang putih 2 buah tomat segar 1 ruas lengkuas 2 lembar daun jeruk purut 2 sendok teh gula pasir secukupnya garam secukupnya penyedap rasa saya pakai magic,0.4132
Tempe melet isi telur & jamur 😛🔥,1 papan tempe--secukupnya Daun bawang--secukupnya Seledri--Jamur tiram--2 butir telur ayam--Tepung serbaguna (me : sasa)--2 sdm maizena--secukupnya Air--❤ bumbu halus tepung--2 cm kunyit--secukupnya Kemiri sangrai--secukupnya Merica bubuk--secukupnya Ketumbar--secukupnya Kaldu bubuk--secukupnya Gula garam--❤ bumbu halus isian--15 cabe rawit--5 cabe merah besar--5 siung bawang merah--3 siung bawang putih--1/2 terasi matang abc--1 cm Kencur (optional)--,"1) Potong tempe sesuai selera. Kemudian iris lg pas tengah2nya tp jgn sampai putus
2) Tumis bumbu halus isian sampe harum. Kemudiam masukkan 2 butir telur orak arik. Setelah tu tambahkan irisan jamur tiram, gula garam, kaldu bubuk. Kemudian cek rasa. Tiriskan
3) Campurkan bumbu halus tepung ke dalam tepung serbaguna...tambahkan air sedikit2 sampe adonan agak encer. Tambahkan jg gula garam, kaldu bubuk, seledri, daun bawang, maizena
4) Masukkan bahan isian ke dalam tempe. Kemudian celupkan ke adonan tepung dan goreng hingga matang
5) Sajikan bersama dengan saos sambal atau sambal petis",8,https://cookpad.com/id/resep/4365276-tempe-melet-isi-telur-jamur-%F0%9F%98%9B%F0%9F%94%A5,tempe,tempe melet isi telur & jamur,22,"papan tempe , daun bawang , seledri , jamur tiram , telur ayam , tepung me sasa , maizena , air , bumbu halus tepung , kunyit , kemiri , merica bubuk , ketumbar , kaldu bubuk , gula garam , bumbu halus isian , cabe rawit , cabe merah , bawang merah , bawang putih , terasi matang abc , kencur",5,tempe melet isi telur jamur,1 papan tempe secukupnya daun bawang secukupnya seledri jamur tiram 2 butir telur ayam tepung serbaguna me sasa 2 sdm maizena secukupnya air bumbu halus tepung 2 cm kunyit secukupnya kemiri sangrai secukupnya merica bubuk secukupnya ketumbar secukupnya kaldu bubuk secukupnya gula garam bumbu halus isian 15 cabe rawit 5 cabe merah besar 5 siung bawang merah 3 siung bawang putih 1 2 terasi matang abc 1 cm kencur optional,0.188
Tempe isi sambal aka tempe melet,1 papan tempe ukuran kecil--Bahan isian :--3 siung bawang merah--1 siung bawang putih--1 buah cabe merah--5 buah cabe rawit--1 buah tomat kecil--Terasi--Gula--Garam--Bahan celupan :--3 sdm tepung terigu--1 sdm tepung tapioka--1 sdm tepung beras--Merica--Garam--Kunyit bubuk--Ketumbar bubuk--,"1) Haluskan bahan isian, tumis dg sedikit minyak hingga harum
2) Potong tempe dan belah tengah. Lalu isi dengan sambal. Sisihkan
3) Campurkan semua bahan untuk celupan beri air secukupnya (atur kekentalan)
4) Celupkan tempe pada tepung dan goreng hingga kuning kecoklatan.
5) Tempe isi sambal siap dihidangkan",8,https://cookpad.com/id/resep/4350830-tempe-isi-sambal-aka-tempe-melet,tempe,tempe isi sambal aka tempe melet,18,"papan tempe , isian , bawang merah , bawang putih , cabe merah , cabe rawit , tomat , terasi , gula , garam , celupan , tepung terigu , tepung tapioka , tepung beras , merica , garam , kunyit , biji ketumbar",5,tempe isi sambal aka tempe melet,1 papan tempe ukuran kecil bahan isian 3 siung bawang merah 1 siung bawang putih 1 buah cabe merah 5 buah cabe rawit 1 buah tomat kecil terasi gula garam bahan celupan 3 sdm tepung terigu 1 sdm tepung tapioka 1 sdm tepung beras merica garam kunyit bubuk ketumbar bubuk,0.2075
Ikan Patin Pucung,"1 kg Ikan Patin fillet, lumuri air jeruk nipis & garam--4 lembar Daun Salam--5 lembar Daun Jeruk--2 ruas Lengkuas, geprek--1 buah Tomat, potong 8--1 batang Daun Bawang, potong 2cm--1 buah Kentang, potong 8 goreng sampai coklat--8 buah Cabe Rawit--Garam--Gula--Kaldu Jamur--🔅 Bumbu Halus--8 siung Bawang Merah--4 siung Bawang Putih--2 cm Kunyit, bakar--4 butir Kemiri, bakar--5 buah Kluwek. Pecahkan, rendam daging buah di air hangat sekitar 15-30 menit, ambil daging buahnya--","1) Goreng ikan dengan api besar sebentar saja, hanya sampai berubah warna. Angkat, sisihkan
2) Tumis bumbu halus, daun salam, daun jeruk, cabe rawit dan lengkuas hingga matang
3) Tambahkan air, garam, gula, kaldu jamur. Koreksi rasa
4) Masukkan ikan, tomat, kentang & daun bawang. Aduk sampai semua matang. Sajikan dengan taburan bawang goreng",8,https://cookpad.com/id/resep/4349731-ikan-patin-pucung,ikan,ikan patin pucung,17,"ikan patin fillet , lumuri air jeruk nipis & garam , daun salam , daun jeruk , lengkuas , geprek , tomat , potong , batang daun bawang , potong , kentang , potong goreng coklat , cabe rawit , garam , gula , kaldu jamur , bumbu halus , bawang merah , bawang putih , kunyit , bakar , kemiri , bakar , kluwek , rendam daging air hangat menit , ambil daging buahnya",4,ikan patin pucung,"1 kg ikan patin fillet, lumuri air jeruk nipis garam 4 lembar daun salam 5 lembar daun jeruk 2 ruas lengkuas, geprek 1 buah tomat, potong 8 1 batang daun bawang, potong 2cm 1 buah kentang, potong 8 goreng sampai coklat 8 buah cabe rawit garam gula kaldu jamur bumbu halus 8 siung bawang merah 4 siung bawang putih 2 cm kunyit, bakar 4 butir kemiri, bakar 5 buah kluwek pecahkan, rendam daging buah di air hangat sekitar 15 30 menit, ambil daging buahnya",0.2059
Tempe goreng tepung sejuta umat,1/2 papan tempe--1 gelas air--1 sendok ketumbar--6 bawang putih--Segelas tepung terigu--,"1) Tumbuk bumbu atau blender dengan air
2) Campur bumbu dengan air dan terigu serta garam dan lada
3) Masukan tempe yg telah diiris tipis ke adonan
4) Goreng tempe dengan minyak agak banyak dan panas
5) Goreng tempe sampai kuning kecoklatan dan tiriskan",8,https://cookpad.com/id/resep/4429484-tempe-goreng-tepung-sejuta-umat,tempe,tempe goreng tepung sejuta umat,5,"papan tempe , air , ketumbar , bawang putih , segelas tepung terigu",5,tempe goreng tepung sejuta umat,1 2 papan tempe 1 gelas air 1 sendok ketumbar 6 bawang putih segelas tepung terigu,0.2842
Tumis Brokoli Tahu,"4 buah Tahu putih ,potong dadu--Brokoli--secukupnya Daun bawang--4 siung Bawang putih--4 siung Bawang merah--1 buah Tomat--secukupnya Lada--secukupnya Gula,garam--1 sdm Saos tiram--secukupnya Lada bubuk--Minyak goreng--secukupnya Air matang--","1) Goreng tahu hingga kecoklatan
2) Bersihkan brokoli dengan cara dicuci dengan air garam,apa bila ingin hasil brokoli cepat empuk dapat dicelur terlebih dahulu dengan air panas
3) Rajang tomat,duo bawang dan daun bawang
4) Panas kan wajan,tuang sedikit minyak,tumis dengan api sedang duo bawang dan daun bawang
5) Tambahkan air, masukkan brokoli
6) Setelah brokoli empuk, masukkan tahu yg sudah digoreng tadi
7) Tambah kan saus tiram,gula,garam dan lada,koreksi rasa
8) Setelah matang,angkat, sajikan
9) Selamat mencoba",8,https://cookpad.com/id/resep/4411747-tumis-brokoli-tahu,tahu,tumis brokoli tahu,12,"tahu putih , potong dadu , brokoli , daun bawang , bawang putih , bawang merah , tomat , lada , gula , garam , saos tiram , lada , minyak goreng , air matang",9,tumis brokoli tahu,"4 buah tahu putih ,potong dadu brokoli secukupnya daun bawang 4 siung bawang putih 4 siung bawang merah 1 buah tomat secukupnya lada secukupnya gula,garam 1 sdm saos tiram secukupnya lada bubuk minyak goreng secukupnya air matang",0.3988
Tahu lada hitam n bawang bombay,"5 potong dadu Tahu besar--Minyak goreng--Bumbu halus :--5 siung  bawang putih--1 ruas  seruas jahe--1 sdt  lada hitam (munjung)--1 sdm saos tiram (sy pke lee kum kee)--1 sdm Gula jawa, sejumput garam--1 sdt kaldu jamur (sy pke totole)--2 sdm maizena larutkan dg air--Pelengkap : 1 bawang bombay ukuran besar--","1) Goreng tahu di api besar(hanya agar tahu berkulit), sisihkan
2) Tumis bumbu halus sampai matang, tambahkan air secukupnya (kira2 250ml) n tunggu hingga mendidih
3) Masukkan tahu n bumbu2 lain, koreksi rasa, tambahkan sedikit demi sedikit larutan maizena sampai kekentalan yg diinginkan
4) Masak hingga kuah menyusut, setelah hampir matang masukkan bawang bombay n aduk2 sebentar. Siap di hidangkan.",8,https://cookpad.com/id/resep/4411966-tahu-lada-hitam-n-bawang-bombay,tahu,tahu lada hitam n bawang bombay,11,"potong dadu tahu , minyak goreng , bumbu halus , bawang putih , jahe , lada hitam munjung , saos tiram pke lee kum kee , gula jawa , sejumput garam , kaldu jamur pke totole , maizena larutkan dg air , pelengkap bawang bombai",4,tahu lada hitam n bawang bombay,"5 potong dadu tahu besar minyak goreng bumbu halus 5 siung bawang putih 1 ruas seruas jahe 1 sdt lada hitam munjung 1 sdm saos tiram sy pke lee kum kee 1 sdm gula jawa, sejumput garam 1 sdt kaldu jamur sy pke totole 2 sdm maizena larutkan dg air pelengkap 1 bawang bombay ukuran besar",0.2834
Bola Tahu Kribo🤣🤣,"4 buah Tahu putih--Kornet sapi--Daun bawang/sop pre--Tepung terigu secukup ny--secukupnya Garam--Mie instan 1 bungkus, hancurkan--secukupnya Lada bubuk--Bawang putih 5 siung,haluskan--Bawang merah 3 siung haluskan--Minyak untuk menggoreng--1 butir Telur ayam--","1) Lumatkan tahu dengan garpu
2) Tambah kan kornet sapi,duo bawang yg sudah dihaluskan, daun bawang, garam, lada bubuk,koreksi rasa
3) Tambahkan tepung terigu,sampai adonan bisa dibentuk bulat
4) Celupkan kedalam telur yg sudah di kocok sebelumnya
5) Gulingkan ke dalam mie
6) Goreng dengan api kecil hingga kuning keemasan
7) Siap disajikan dengan saos pedas",8,https://cookpad.com/id/resep/4412792-bola-tahu-kribo%F0%9F%A4%A3%F0%9F%A4%A3,tahu,bola tahu kribo,11,"tahu putih , kornet sapi , daun bawang sop pre , tepung terigu secukup ny , garam , mie instan , hancurkan , lada , bawang putih , haluskan , bawang merah haluskan , minyak , telur ayam",7,bola tahu kribo,"4 buah tahu putih kornet sapi daun bawang sop pre tepung terigu secukup ny secukupnya garam mie instan 1 bungkus, hancurkan secukupnya lada bubuk bawang putih 5 siung,haluskan bawang merah 3 siung haluskan minyak untuk menggoreng 1 butir telur ayam",0.338
