nama_id,frekuensi,kategori,umur_kulkas,umur_suhu_ruang,umur_freezer,kalori_per_100g,protein_g,lemak_g,karbo_g,karbon_co2e
kangkung,3,sayuran,3,1,0,29.0,3.0,0.3,5.4,0.324
bubuk kunyit,3,rempah,365,180,0,63.0,2.0,2.7,9.1,5.064
kunir,3,rempah,14,7,60,0.0,0.0,0.0,0.0,5.064
ikan gabus,3,protein_hewani,2,0,90,0.0,0.0,0.0,0.0,7.681
cabe merah tanjung,3,bumbu,7,2,30,0.0,0.0,0.0,0.0,
jamur,3,sayuran,5,1,30,0.0,0.0,0.0,0.0,0.321
kubis,3,sayuran,14,2,30,0.0,0.0,0.0,0.0,0.324
ayam fillet,3,protein_hewani,3,0,120,302.0,18.2,25.0,0.0,3.576
bayam,3,sayuran,3,1,0,302.0,18.2,25.0,0.0,0.471
pindang tongkol,3,protein_hewani,2,0,90,0.0,0.0,0.0,0.0,2.016
daun bawang seledri,3,bumbu,7,2,30,20.0,1.0,0.1,4.6,
cabe rawit suka,3,bumbu,7,2,30,0.0,0.0,0.0,0.0,
bawang pre,3,bumbu,7,2,30,0.0,0.0,0.0,0.0,0.447
bawang putih bubuk bawang putih,2,bumbu,7,2,30,0.0,0.0,0.0,0.0,1.165
rawit,2,bumbu,7,2,30,0.0,0.0,0.0,0.0,0.656
nasi putih,2,karbohidrat,2,1,30,180.0,3.0,0.3,39.8,
trasi,2,bumbu,30,14,0,155.0,22.3,2.9,9.9,1.61
kare instan,2,olahan,5,1,0,0.0,0.0,0.0,0.0,
kari instan,2,olahan,5,1,0,0.0,0.0,0.0,0.0,
gabus,2,olahan,5,1,0,0.0,0.0,0.0,0.0,7.681
paprika merah,2,sayuran,7,3,30,0.0,0.0,0.0,0.0,0.656
asam,2,olahan,5,1,0,0.0,0.0,0.0,0.0,
pokcoy,2,sayuran,5,1,0,0.0,0.0,0.0,0.0,0.324
santan kelapa,2,olahan,3,0,30,324.0,4.2,34.3,55.6,6.639
laos lengkuas,2,rempah,14,7,60,0.0,0.0,0.0,0.0,
perasan air lemon,2,buah,14,3,0,0.0,0.0,0.0,0.0,
penyedap merica,2,rempah,365,365,0,359.0,11.5,6.8,64.4,
daging sapi fresh,2,protein_hewani,3,0,120,0.0,0.0,0.0,0.0,69.927
air perasan jeruk nipis,2,buah,14,3,0,0.0,0.0,0.0,0.0,0.565
daun kunyit simpul,2,rempah,7,3,30,63.0,2.0,2.7,9.1,5.064
sapi,2,olahan,5,1,0,0.0,0.0,0.0,0.0,69.927
kecap shoyu,2,bumbu,365,180,0,46.0,5.7,1.3,9.0,1.511
bread crumb,2,karbohidrat,90,30,0,0.0,0.0,0.0,0.0,2.302
ragout,2,olahan,5,1,0,0.0,0.0,0.0,0.0,
cabe kriting merah,2,bumbu,7,2,30,367.0,15.9,6.2,61.8,
penyedap royco ayam,2,protein_hewani,3,0,120,302.0,18.2,25.0,0.0,3.576
daun sledri,2,olahan,5,1,0,0.0,0.0,0.0,0.0,
celup sariwangi,2,olahan,5,1,0,0.0,0.0,0.0,0.0,
cabe merah giling,2,bumbu,7,2,30,0.0,0.0,0.0,0.0,
belimbing sayur,2,buah,7,2,0,36.0,0.4,0.4,8.8,0.611
micin,2,bumbu,365,180,0,0.0,0.0,0.0,0.0,
sagu tani,2,karbohidrat,365,365,0,0.0,0.0,0.0,0.0,1.769
cuka,2,bumbu,365,365,0,12.0,0.1,0.1,5.0,1.509
sosis sapi,2,olahan,7,1,60,0.0,0.0,0.0,0.0,2.08
pare,2,sayuran,7,2,0,0.0,0.0,0.0,0.0,0.606
keju parmesan,2,olahan,30,1,90,326.0,22.8,20.3,13.1,5.96
butter,2,olahan,30,5,90,0.0,0.0,0.0,0.0,3.299
santan instant,2,olahan,5,0,30,0.0,0.0,0.0,0.0,6.639
lada butiran,2,rempah,365,365,0,0.0,0.0,0.0,0.0,
ikan gurami,2,protein_hewani,2,0,90,0.0,0.0,0.0,0.0,7.681
margarin butter,2,olahan,30,5,90,720.0,0.6,81.0,0.4,
serai geprak,2,rempah,14,5,60,0.0,0.0,0.0,0.0,
saus barbeque,2,bumbu,365,30,0,0.0,0.0,0.0,0.0,1.915
santan kekentalan,2,olahan,3,0,30,0.0,0.0,0.0,0.0,6.639
kornet sapi,2,olahan,5,1,60,0.0,0.0,0.0,0.0,4.369
nasi,2,karbohidrat,2,1,30,180.0,3.0,0.3,39.8,4.309
minyak tempe,2,protein_nabati,5,2,30,0.0,0.0,0.0,0.0,0.699
wortel super,2,sayuran,14,3,90,42.0,1.2,0.6,9.3,0.285
tepung panir tepung roti,2,karbohidrat,90,30,0,0.0,0.0,0.0,0.0,
ikan gurame,2,protein_hewani,2,0,90,0.0,0.0,0.0,0.0,7.681
lemon,2,buah,14,3,0,0.0,0.0,0.0,0.0,0.616
susu cair putih,2,protein_hewani,7,0,30,0.0,0.0,0.0,0.0,0.537
oregano,2,rempah,365,180,0,0.0,0.0,0.0,0.0,2.144
ragi instan,2,bumbu,90,14,0,136.0,43.0,2.4,3.0,
tuna kalengan,2,olahan,5,1,60,0.0,0.0,0.0,0.0,2.891
saus raja,2,bumbu,30,7,0,0.0,0.0,0.0,0.0,
bubuk bawang putih,2,bumbu,30,14,0,0.0,0.0,0.0,0.0,1.165
cabe hijau keriting,2,bumbu,7,2,30,0.0,0.0,0.0,0.0,
garam masala,2,rempah,365,180,0,0.0,0.0,0.0,0.0,5.064
kismis,2,buah,365,180,0,0.0,0.0,0.0,0.0,3.549
bawang putih giling,2,bumbu,30,14,0,0.0,0.0,0.0,0.0,1.165
jahe giling,2,rempah,21,14,60,51.0,1.5,1.0,10.1,1.2
ikan teri,2,protein_hewani,2,0,90,0.0,0.0,0.0,0.0,9.343
